bright_flexible_5x1_v2;5;{-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"};bright_flexible_5x1;_v2 
bright_flexible_6x1_v1;6;{-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_flexible_6x1;_v1 
bright_flexible_6x1_v2;6;{-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_flexible_6x1;_v2 
bright_flexible_7x1;7;{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time"};bright_flexible_7x1; 
bright_flexible_7x1_v1;7;{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time"};bright_flexible_7x1;_v1 
bright_flexible_7x1_v2;7;{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time"};bright_flexible_7x1;_v2 
bright_flexible_8x1;8;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time"};bright_flexible_8x1; 
bright_flexible_8x1_v1;8;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time"};bright_flexible_8x1;_v1 
bright_flexible_8x1_v2;8;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time"};bright_flexible_8x1;_v2 
bright_flexible_9x1;9;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time"};bright_flexible_9x1; 
bright_flexible_9x1_v1;9;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time"};bright_flexible_9x1;_v1 
bright_flexible_9x1_v2;9;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time"};bright_flexible_9x1;_v2 
