bright_no_apogee_skies_1x8;1;{0.};{1.};{0.};{0.};{8};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x8; 
bright_no_apogee_skies_2x1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{1,1};{0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_2x1; 
bright_no_apogee_skies_3x1;3;{0., 3.,27.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{1,1,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_3x1; 
bright_no_apogee_skies_3x2;3;{0., 3.,27.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,2,2};{7.,7.,7.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_3x2; 
bright_no_apogee_skies_1x2+1x1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,1};{0.,0.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_1x2+1x1; 
bright_no_apogee_skies_3x4;3;{0., 3.,27.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{4,4,4};{7.,7.,7.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_3x4; 
bright_no_apogee_skies_4x1;4;{0.,  3., 27.,270.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{1,1,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_4x1; 
bright_no_apogee_skies_5x1;5;{0.,  3., 27.,270., 30.};{1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5};{1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_5x1; 
bright_no_apogee_skies_6x2;6;{0.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,2,2};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_6x2; 
bright_flexible_no_apogee_skies_13x1;13;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_13x1; 
bright_single_no_apogee_skies_1x2;1;{0.};{1.};{0.};{0.};{2};{0.2};{"bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2; 
bright_single_no_apogee_skies_1x2+1x1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,1};{0.,0.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2+1x1; 
bright_no_apogee_skies_8x4;8;{0., 30., 30.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{4,4,4,4,4,4,4,4};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_8x4; 
bright_no_apogee_skies_1x2+2x1;3;{0.,30.,30.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,1,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_1x2+2x1; 
