bright_mc_2x1_v2;2;{0.,0.};{1.,1.};{0.,0.};{0.,0.};{1,1};{0.5,0.5};{"bright_mc","bright_mc"};bright_mc_2x1;_v2 
bright_mc_15x1_v2;15;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc"};bright_mc_15x1;_v2 
bright_mc_16x1_v2;16;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_16x1;_v2 
bright_mc_17x1_v2;17;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_17x1;_v2 
bright_mc_18x1_v2;18;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_18x1;_v2 
bright_mc_19x1_v2;19;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc"};bright_mc_19x1;_v2 
bright_mc_20x1_v2;20;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc"};bright_mc_20x1;_v2 
bright_mc_21x1_v2;21;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc"};bright_mc_21x1;_v2 
bright_mc_22x1_v2;22;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_22x1;_v2 
bright_mc_23x1_v2;23;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_23x1;_v2 
bright_mc_24x1_v2;24;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_24x1;_v2 
