bright_no_apogee_skies_3x4_v2;3;{0., 3.,27.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{4,4,4};{7.,7.,7.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_3x4;_v2 
bright_no_apogee_skies_4x1_v2;4;{0.,  3., 27.,270.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{1,1,1,1};{0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_4x1;_v2 
bright_no_apogee_skies_5x1_v2;5;{0.,  3., 27.,270., 30.};{1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5};{1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_5x1;_v2 
bright_no_apogee_skies_6x2_v2;6;{0.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,2,2};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_6x2;_v2 
bright_flexible_no_apogee_skies_13x1_v2;13;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_13x1;_v2 
bright_single_no_apogee_skies_1x2_v2;1;{0.};{1.};{0.};{0.};{2};{0.2};{"bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2;_v2 
bright_single_no_apogee_skies_1x2+1x1_v2;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,1};{0.,0.};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_single_no_apogee_skies_1x2+1x1;_v2 
bright_no_apogee_skies_8x4_v2;8;{0., 30., 30.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{4,4,4,4,4,4,4,4};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_8x4;_v2 
bright_no_apogee_skies_1x2+2x1_v2;3;{0.,30.,30.};{1.,1.,1.};{0.,1800.,1800.};{0. ,0.5,0.5};{2,1,1};{0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_1x2+2x1;_v2 
bright_no_apogee_skies_9x4_v2;9;{0., 30., 30.,  3., 27.,270., 30., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{4,4,4,4,4,4,4,4,4};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_no_apogee_skies_9x4;_v2 
