bright_1x2+1x1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{2,1};{0.,0.};{"bright_time","bright_time"};bright_1x2+1x1; 
bright_3x2+3x1;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_3x2+3x1; 
bright_3x2+3x1_v2;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_3x2+3x1;_v2 
bright_single_3x2+3x1;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_single_3x2+3x1; 
bright_single_3x2+3x1_v2;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_single_3x2+3x1;_v2 
bright_4x2+2x1;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_4x2+2x1; 
bright_4x2+2x1_v2;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_4x2+2x1;_v2 
bright_single_4x2+2x1;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_single_4x2+2x1; 
bright_single_4x2+2x1_v2;6;{0.,30.,30., 3.,27.,30.};{1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,1,1};{0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_single_4x2+2x1;_v2 
bright_5x2;5;{0.,  3., 27.,270., 30.};{1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5};{2,2,2,2,2};{0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"};bright_5x2; 
bright_5x2_v2;5;{0.,  3., 27.,270., 30.};{1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5};{2,2,2,2,2};{0.2,0.2,0.2,0.2,0.2};{"bright_time","bright_time","bright_time","bright_time","bright_time"};bright_5x2;_v2 
