bright_1x1_v3;1;{0.};{1.};{0.};{0.};{1};{1.};{"bright_time"};bright_1x1_v3;_v3 
bright_130x1_dense_02_v3;130;{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.};{0. ,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 0.2,0.2,0.2,0.2};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"};bright_130x1_dense_02_v3;_v3 
bright_130x1_dense_01_v3;130;{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2., 2.,2.,2.,2.,2.,2.,2.,2.,2.,2.};{0. ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1,0.1,0.1,0.1};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"};bright_130x1_dense_01_v3;_v3 
bright_130x1_sparse_v3;130;{0.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3., 3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3., 3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3., 3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3., 3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3., 3.,3.,3.,3.,3.,3.,3.,3.,3.,3.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.,7.,7.,7.,7.,7.,7.,7.,7.,7.};{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"};bright_130x1_sparse_v3;_v3 
bright_25x1_v3;25;{0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.};{0.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14., 14.,14.,14.,14.,14.,14.,14.};{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"};bright_25x1_v3;_v3 
bright_25x2_v3;25;{0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7., 7.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.};{0.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14., 14.,14.,14.,14.,14.,14.,14.};{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.};{2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"};bright_25x2_v3;_v3 
bright_12x2_v3;12;{0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.};{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{2,2,2,2,2,2,2,2,2,2,2,2};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time"};bright_12x2_v3;_v3 
bright_12x4_v3;12;{0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.,14.};{0.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{4,4,4,4,4,4,4,4,4,4,4,4};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time","bright_time"};bright_12x4_v3;_v3 
dark_1x4_v3;1;{0.};{1.};{0.};{0.};{4};{0.};{"dark_monit"};dark_1x4_v3;_v3 
dark_100x8_v3;100;{0.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6., 6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6., 6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6., 6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6., 6.,6.,6.,6.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1., 1.,1.,1.,1.};{0.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10., 10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10., 10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10., 10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10., 10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10.,10., 10.,10.,10.,10.,10.,10.,10.,10.,10.,10.};{0.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4., 4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4., 4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4., 4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4.,4., 4.,4.,4.,4.};{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8, 8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8, 8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0., 0.,0.,0.,0.};{"dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm","dark_rm"," dark_rm","dark_rm"};dark_100x8_v3;_v3 
