pk,label,first_release
1,v0.plates,dr19
2,v0.5.epsilon-7-core-0,dr19
3,v0.5.2,dr19
4,v0.5.3,dr18
5,v0.5.5,dr19
6,v1.0.2,dr20
7,v1.0.3,dr20
8,v1.0.4,dr20
